data,carga_dia,carga_aguda,carga_cronica,acwr,score,fc_basal,sono,conselho,alerta,monotonia,strain,periodo,micro,mes
2026-04-03,294.0,640.8,640.304347826087,1.0007740884090446,101.28847530422334,55.0,10.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.6551865627413935,5303.217747023425,PPC II,M31,ABRIL
2026-04-04,520.0,732.8,619.4347826086956,1.1830139678528813,105.31110081828007,51.0,10.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,2.6430366072323745,9684.08612889942,PPC II,M31,ABRIL
2026-04-06,600.0,578.5,598.6521739130435,0.9663374246495751,101.28847530422334,55.0,10.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,2.6670953945508318,6171.658742990625,PPC II,M32,ABRIL
2026-04-07,768.0,545.5,602.0434782608696,0.9060807395103632,89.77565304336957,63.0,9.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,3.1980661308634075,6978.180297543955,PPC II,M32,ABRIL
2026-04-08,552.0,546.8,595.0,0.9189915966386554,92.23826188393117,54.0,8.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,3.583547294199404,9797.418302341172,PPC II,M32,ABRIL
2026-04-09,285.0,503.1666666666667,586.2608695652174,0.8582641154949076,93.22388946664685,53.0,8.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,2.958704991205075,8932.330368448122,PPC II,M32,ABRIL
2026-04-10,60.0,464.1666666666667,552.0869565217391,0.8407491993489788,99.24742580254392,52.0,9.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,2.0192332760843055,5623.564673894791,PPC II,M32,ABRIL
2026-04-11,950.0,535.8333333333334,561.4347826086956,0.954399958697953,102.23826188393117,54.0,10.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.8216268160754294,5856.530213682506,PPC II,M32,ABRIL
2026-04-12,1000.0,602.1428571428571,579.7083333333334,1.0386996745079113,81.28847530422334,55.0,6.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.8989673276854222,8004.147286194055,PPC II,M32,ABRIL
2026-04-14,270.0,519.5,537.7391304347826,0.9660818240620958,93.22388946664685,53.0,8.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.4736501547285266,4593.3675322888175,PPT,M33,ABRIL
2026-04-15,174.0,456.5,511.82608695652175,0.8919045191980972,71.24370724151285,61.0,5.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.2199404661634035,3341.416936821562,PPT,M33,ABRIL
2026-04-17,523.0,583.4,503.1818181818182,1.1594218608852755,94.07603346456693,64.0,10.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.7167332080682465,5007.710767935075,PPGIII,M33,ABRIL
2026-04-18,888.0,571.0,510.1363636363636,1.1193085627728772,96.28847530422334,55.0,9.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.7455261575024792,4983.477179669578,PPGIII,M33,ABRIL
2026-04-20,1776.0,726.2,575.9090909090909,1.2609629044988162,92.8112905378353,59.0,9.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.251848385746437,4545.461488645313,PPGIII,M34,ABRIL
2026-04-21,1125.0,897.2,612.0454545454545,1.4659041960638695,90.37260967379078,56.0,8.0,ℹ️ ESTÁVEL,Treino Seguro,1.6450284046713495,7379.5974233556735,PPGIII,M34,ABRIL
2026-04-22,1180.0,1098.4,641.1363636363636,1.7132080822403404,77.01443569553805,60.0,6.0,⚠️ ALERTA: REDUZIR VOLUME (RISCO),ALERTA: MONOTONIA ALTA,2.676857665331557,14701.302298000912,PPGIII,M34,ABRIL
2026-04-23,1039.0,1088.5,682.0,1.596041055718475,89.07603346456693,64.0,9.0,⚠️ ALERTA: REDUZIR VOLUME (RISCO),ALERTA: MONOTONIA ALTA,2.900859671577601,18945.51451507331,PPGIII,M34,ABRIL
2026-04-24,1043.0,1175.1666666666667,725.3181818181819,1.6202084769484657,54.77565304336958,63.0,2.0,⚠️ ALERTA: REDUZIR VOLUME (RISCO),ALERTA: MONOTONIA ALTA,4.14614883385802,29234.4954275329,PPGIII,M34,ABRIL
2026-04-25,95.0,1043.0,726.9090909090909,1.4348424212106055,70.497840995682,62.0,5.0,ℹ️ ESTÁVEL,ALERTA: MONOTONIA ALTA,2.113295491985201,13225.003188843388,PPGIII,M34,ABRIL
2026-04-27,1311.0,965.5,731.0952380952381,1.3206213769295903,103.22388946664685,53.0,10.0,ℹ️ ESTÁVEL,ALERTA: MONOTONIA ALTA,2.4137506285809747,13982.857391369585,PPGIII,M35,ABRIL
2026-04-28,1678.0,1057.6666666666667,768.1428571428571,1.3769140164899885,99.24742580254392,52.0,9.0,ℹ️ ESTÁVEL,ALERTA: MONOTONIA ALTA,2.19645479799128,13938.702148052662,PPGIII,M35,ABRIL
2026-04-29,1150.0,1052.6666666666667,785.5,1.340123063865903,66.24370724151285,61.0,4.0,ℹ️ ESTÁVEL,ALERTA: MONOTONIA ALTA,2.1912672153823456,13840.043732354894,PPGIII,M35,ABRIL
2026-04-30,890.0,980.625,790.0434782608696,1.2412291563480269,90.37260967379078,56.0,8.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,2.122343385504779,13088.491658407973,PPGIII,M35,ABRIL
2026-05-01,1190.0,1052.3333333333333,829.0,1.2694008845999194,58.63562313331523,58.0,2.0,📉 FADIGA: FOCO EM TÉCNICA/RECUPERAÇÃO,ALERTA: MONOTONIA ALTA,2.15579221267667,13611.672030840495,PPGIII,M35,MAIO
2026-05-02,240.0,1076.5,816.8260869565217,1.3179059988289774,72.01443569553805,60.0,5.0,ℹ️ ESTÁVEL,ALERTA: MONOTONIA ALTA,2.4382181378734593,15748.450952524674,PPGIII,M35,MAIO
2026-05-03,914.0,1053.2857142857142,820.875,1.2831255846331222,88.63562313331522,58.0,8.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,2.5522077531264964,18817.427763801657,PPGIII,M35,MAIO
2026-05-04,1548.0,1087.142857142857,860.375,1.263568626637056,73.63562313331522,58.0,5.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,2.4641270770837838,18752.007056607596,PPGIII,M36,MAIO
2026-05-05,1200.0,1018.8571428571429,878.375,1.159934131614792,62.81129053783531,59.0,3.0,📉 FADIGA: FOCO EM TÉCNICA/RECUPERAÇÃO,ALERTA: MONOTONIA ALTA,2.7044316245618445,19288.006346375074,PPGIII,M36,MAIO
2026-05-06,1100.0,1011.7142857142857,901.2083333333334,1.1226197631486825,86.28847530422334,55.0,7.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,2.70042368684529,19124.400550238344,PPGIII,M36,MAIO
2026-05-07,1410.0,1086.0,948.0833333333334,1.1454689285400368,68.63562313331522,58.0,4.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,2.7549815273605995,20943.369570995277,PPGIII,M36,MAIO
2026-05-08,100.0,930.2857142857143,949.75,0.9795058850073328,53.397940642035124,65.0,2.0,📉 FADIGA: FOCO EM TÉCNICA/RECUPERAÇÃO,Treino Seguro,1.7953872531540123,11691.561792538927,PPGIII,M36,MAIO
2026-05-09,50.0,903.1428571428571,912.25,0.9900168343577497,71.28847530422334,55.0,4.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.6211100560548068,10248.65777437849,PPGIII,M36,MAIO
2026-05-11,842.0,783.6666666666666,905.6666666666666,0.8652926021347074,93.22388946664685,53.0,8.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.483304374666816,6974.497169683369,PPE III,M37,MAIO
2026-05-12,1480.0,830.3333333333334,956.0833333333334,0.8684738080711235,74.48887967951374,57.0,5.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.4478973588603854,7213.42464184244,PPE III,M37,MAIO
2026-05-13,1150.0,838.6666666666666,996.75,0.8414012206337262,81.41732283464566,50.0,5.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.4517811612202605,7305.362803260351,PPE III,M37,MAIO
2026-05-14,476.0,683.0,975.92,0.6998524469218789,75.31110081828007,51.0,4.0,ℹ️ ESTÁVEL,Treino Seguro,1.2977171234904172,5318.044772063729,PPE III,M37,MAIO
2026-05-15,1398.0,899.3333333333334,1010.92,0.8896186971603425,91.41732283464566,50.0,7.0,✅ ZONA ÓTIMA: MANTER CARGA,Treino Seguro,1.7679693438846251,9539.962579601437,PPE III,M37,MAIO
2026-05-16,1150.0,1082.6666666666667,1021.4,1.0599830298283404,85.37260967379078,56.0,7.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,3.187206929598206,20704.096214669946,PPE III,M37,MAIO
2026-05-18,555.0,1034.8333333333333,972.56,1.0640303254640673,97.23826188393117,54.0,9.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,2.6732282269863417,16598.074061358195,PPE III,M38,MAIO
2026-05-19,1465.0,1032.3333333333333,986.16,1.0468213406884617,89.48887967951374,57.0,8.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,2.6865143963819156,16640.270171189586,PPE III,M38,MAIO
2026-05-20,1100.0,1024.0,982.96,1.041751444616261,81.24370724151285,61.0,7.0,✅ ZONA ÓTIMA: MANTER CARGA,ALERTA: MONOTONIA ALTA,2.6795114604093517,16462.918412755058,PPE III,M38,MAIO
